TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
5805037,initial,2474.166761370376,2475.83887895302,1.6721175826437502,0.250179768471149
5805037,interevent,2475.83887895302,2478.087714839496,2.248835886476172,0.33646751116550294
5805037,interevent,2478.087714839496,2478.4502504961747,0.362535656678574,0.05424205067384027
5805037,interevent,2478.4502504961747,2478.543315181243,0.0930646850683842,0.013924201028038137
5805037,interevent,2478.543315181243,2478.5530383566947,0.0097231754516542,0.0014547671817750796
5805037,interevent,2478.5530383566947,2478.7308335473417,0.1777951906469752,0.026601454403114667
5805037,interevent,2478.7308335473417,2484.30358379838,5.572750251038087,0.8337866798505416
5805037,interevent,2484.30358379838,2494.287848202106,8.928708848222868,1.3359002593961782
5805037,interevent,2494.287848202106,2503.552537598275,7.9660782851615295,1.1918728932051206
5805037,interevent,2503.552537598275,2510.943385659043,7.390848060767894,1.1058077947633758
5805037,interevent,2510.943385659043,2519.5342705245475,7.104785328508115,1.0630075103408996
5884824,initial,2474.166761370376,2487.392737070857,12.17042014497747,1.8209203262207267
5884824,interevent,2487.392737070857,2495.461545265244,8.068808194386747,1.2072431908276071
5884824,interevent,2495.461545265244,2503.409456171957,6.649299795705701,0.9948584361841069
5884824,interevent,2503.409456171957,2534.976740559393,29.01174040594333,4.340693844166311
6743104,initial,2474.166761370376,2476.5539979243304,2.3872365539541534,0.35717481506882587
6743104,interevent,2476.5539979243304,2484.418649343489,7.86465141915869,1.176697554989237
6743104,interevent,2484.418649343489,2485.0270387097626,0.6083893662735136,0.09102632038230578
6743104,interevent,2485.0270387097626,2492.912514137942,6.829919872675873,1.0218825459157883
6743104,interevent,2492.912514137942,2495.8099985266617,2.8974843887199317,0.43351734414072096
6743104,interevent,2495.8099985266617,2497.7976708643428,1.9876723376810328,0.2973926058784194
6743104,interevent,2497.7976708643428,2522.8385030650243,22.25612155267754,3.3299281072752778
6743104,interevent,2522.8385030650243,2528.2749212635345,4.366973754013998,0.6533801773505857
6743104,interevent,2528.2749212635345,2530.055576951725,1.7806556881905635,0.26641907986757973
6743104,interevent,2530.055576951725,2535.2530505098484,5.19747355812342,0.7776383341118598
6743104,interevent,2535.2530505098484,2543.8575503730244,7.444777640695065,1.1138766590346274
6743104,interevent,2543.8575503730244,2543.9811654357104,0.1236150626859853,0.018495103504282236
6743104,interevent,2543.9811654357104,2546.809023604458,2.8278581687477526,0.4230999717184897
6743104,interevent,2546.809023604458,2547.075696847807,0.2666732433490324,0.039899257666454066
6743108,initial,2474.166761370376,2476.555386925762,2.3886255553857154,0.3573826354160079
6743108,interevent,2476.555386925762,2484.421427350777,7.866040425014944,1.176905375998435
6743108,interevent,2484.421427350777,2485.033983763372,0.6125564125950405,0.091649787711846
6743108,interevent,2485.033983763372,2495.8099985010504,9.720459182175093,1.4543607775386538
6743108,interevent,2495.8099985010504,2497.797670838964,1.987672337913864,0.2973926059132553
6743108,interevent,2497.797670838964,2517.435371049811,16.85993400733878,2.522558479246329
6743108,interevent,2517.435371049811,2522.838503047329,5.396187553022173,0.8073696291785292
