TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,z_hawkes
671393,initial,1437.97971276287,1445.768757889318,0.6461070816015867
671393,interevent,1445.768757889318,1447.1354290563293,0.17909761827504045
671393,interevent,1447.1354290563293,1448.8451521146792,0.2956475684146096
671393,interevent,1448.8451521146792,1453.0701527205686,0.5616427652883285
671393,interevent,1453.0701527205686,1453.557652840168,0.11059248654726594
671393,interevent,1453.557652840168,1456.540976904745,0.7565293143555986
671393,interevent,1456.540976904745,1457.7826350537737,0.34146919108584417
671393,interevent,1457.7826350537737,1461.1173213022375,0.9595090669793502
671393,interevent,1461.1173213022375,1461.8339776473783,0.21918688386015003
1223040,initial,1437.97971276287,1455.0585310116303,1.3026433938551618
1223040,interevent,2152.03434767409,2174.64990472442,1.8462755055818887
1223040,interevent,2174.64990472442,2182.255446909647,0.9669381583531548
1223040,interevent,2182.255446909647,2193.003947515163,1.3448790290035244
1518580,initial,1437.97971276287,1443.7903531694506,0.48199693985391734
2850290,initial,2474.166761370376,2480.5057705143804,0.5258255192759378
2850290,interevent,2480.5057705143804,2502.327218068754,2.090538914398502
2850290,interevent,2502.327218068754,2508.108252822577,0.755119131528349
2850290,interevent,2508.108252822577,2515.389356131632,0.8756932417479967
2850290,interevent,2515.389356131632,2534.815490298343,2.455260074758761
2850290,interevent,2534.815490298343,2548.768744648218,1.6019929498704757
4097865,initial,2988.435048438143,3003.508214324096,1.2153834708458269
4342429,initial,2988.435048438143,2994.2708839760503,0.48408689472101113
4342429,interevent,2994.2708839760503,3009.001506503713,1.588159621679459
4342429,interevent,3009.001506503713,3009.1390060055487,0.020477548908441202
4342429,interevent,3009.1390060055487,3012.7389819772447,0.6625170000636742
4639431,initial,2988.435048438143,2998.182088013977,0.791050755800517
4639431,interevent,2998.182088013977,2999.8029318766166,0.2116302908068235
4639431,interevent,2999.8029318766166,3003.186278852236,0.5275180779185608
4639431,interevent,3003.186278852236,3004.3835057176484,0.24024036514778996
