TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,calendar_days,unobserved_days,overlaps_corrupted_orbit,match_type_curr
671393,initial,1437.97971276287,1445.768757889318,7.789045126448173,7.789045126448173,0.0,False,exact
671393,interevent,1445.768757889318,1447.1354290563293,1.3666711670111908,1.3666711670111908,0.0,False,exact
671393,interevent,1447.1354290563293,1448.8451521146792,1.7097230583499368,1.7097230583499368,0.0,False,exact
671393,interevent,1448.8451521146792,1453.0701527205686,2.850000605423702,4.225000605889363,1.3750000004656613,False,exact
671393,interevent,1453.0701527205686,1453.557652840168,0.4875001195994173,0.4875001195994173,0.0,False,exact
671393,interevent,1453.557652840168,1456.540976904745,2.9833240645771184,2.9833240645771184,0.0,False,exact
671393,interevent,1456.540976904745,1457.7826350537737,1.2416581490285807,1.2416581490285807,0.0,False,exact
671393,interevent,1457.7826350537737,1461.1173213022375,3.3346862484638677,3.3346862484638677,0.0,False,exact
671393,interevent,1461.1173213022375,1461.8339776473783,0.716656345140791,0.716656345140791,0.0,False,exact
671393,final_censored,1461.8339776473783,1464.2713678628206,2.437390215442292,2.437390215442292,0.0,False,
1223040,initial,1437.97971276287,1455.0585310116303,15.703818248294738,17.0788182487604,1.3750000004656613,False,exact
1223040,interevent,1455.0585310116303,2152.03434767409,16.733050469811133,696.9758166624597,680.2427661926486,True,exact
1223040,interevent,2152.03434767409,2174.64990472442,16.92805704893317,22.615557050330153,5.687500001396984,False,exact
1223040,interevent,2174.64990472442,2182.255446909647,7.605542185227023,7.605542185227023,0.0,False,exact
1223040,interevent,2182.255446909647,2193.003947515163,9.741556160553955,10.748500605515801,1.0069444449618459,False,exact
1223040,final_censored,2193.003947515163,2200.2293886975385,7.225441182375562,7.225441182375562,0.0,False,
1518580,initial,1437.97971276287,1443.7903531694506,5.81064040658066,5.81064040658066,0.0,False,exact
1518580,interevent,1443.7903531694506,2192.7247180116965,36.601332440036,748.9343648422459,712.3330324022099,True,exact
1518580,final_censored,2192.7247180116965,2200.2293886975385,7.504670685842029,7.504670685842029,0.0,False,
2850290,initial,2474.166761370376,2480.5057705143804,6.339009144004194,6.339009144004194,0.0,False,exact
2850290,interevent,2480.5057705143804,2502.327218068754,19.46728088786267,21.821447554373663,2.3541666665109915,False,exact
2850290,interevent,2502.327218068754,2508.108252822577,5.781034753822951,5.781034753822951,0.0,False,exact
2850290,interevent,2508.108252822577,2515.389356131632,5.801948216555047,7.281103309055197,1.4791550925001502,False,exact
2850290,interevent,2515.389356131632,2534.815490298343,18.349745277718284,19.426134166710654,1.0763888889923692,False,exact
2850290,interevent,2534.815490298343,2548.768744648218,12.793532127394428,13.953254349875351,1.159722222480923,False,exact
2850290,final_censored,2548.768744648218,2550.625059989281,1.856315341062782,1.856315341062782,0.0,False,
4097865,initial,2988.435048438143,3003.508214324096,14.6518695893119,15.07316588595313,0.4212962966412306,False,exact
4097865,final_censored,3003.508214324096,3014.152629461605,10.43376698918837,10.644415137508986,0.2106481483206153,False,
4342429,initial,2988.435048438143,2994.2708839760503,5.835835537907315,5.835835537907315,0.0,False,exact
4342429,interevent,2994.2708839760503,3009.001506503713,14.098678082700644,14.73062252766249,0.6319444449618459,False,exact
4342429,interevent,3009.001506503713,3009.1390060055487,0.13749950183591864,0.13749950183591864,0.0,False,exact
4342429,interevent,3009.1390060055487,3012.7389819772447,3.59997597169604,3.59997597169604,0.0,False,exact
4342429,final_censored,3012.7389819772447,3014.152629461605,1.4136474843603537,1.4136474843603537,0.0,False,
4639431,initial,2988.435048438143,2998.182088013977,9.536391427513536,9.747039575834151,0.2106481483206153,False,exact
4639431,interevent,2998.182088013977,2999.8029318766166,1.6208438626395036,1.6208438626395036,0.0,False,exact
4639431,interevent,2999.8029318766166,3003.186278852236,3.172698827298518,3.3833469756191334,0.2106481483206153,False,exact
4639431,interevent,3003.186278852236,3004.3835057176484,1.197226865412631,1.197226865412631,0.0,False,exact
4639431,interevent,3004.3835057176484,3005.9848981206046,1.6013924029562077,1.6013924029562077,0.0,False,exact
4639431,interevent,3005.9848981206046,3006.8696208035394,0.8847226829348074,0.8847226829348074,0.0,False,exact
4639431,final_censored,3006.8696208035394,3014.152629461605,7.072360509745067,7.2830086580656825,0.2106481483206153,False,
5156358,initial,2988.435048438143,2997.265151826632,8.619455240168463,8.830103388489078,0.2106481483206153,False,exact
5156358,interevent,2997.265151826632,3006.036059739689,8.560259764736202,8.770907913056817,0.2106481483206153,False,exact
5156358,final_censored,3006.036059739689,3014.152629461605,7.905921573595606,8.116569721916221,0.2106481483206153,False,
5548244,initial,2988.435048438143,2993.2900621572853,4.855013719142335,4.855013719142335,0.0,False,exact
5548244,interevent,2993.2900621572853,3033.934399055104,39.380448007895666,40.6443368978189,1.263888889923237,False,exact
5548244,final_censored,3033.934399055104,3040.8979882597923,6.75294105636749,6.963589204688105,0.2106481483206153,False,
5612334,initial,2447.687606282532,2463.9958589107887,15.377697072752653,16.30825262825647,0.9305555555038154,False,exact
5612334,interevent,2463.9958589107887,2467.9767719951674,3.980913084378699,3.980913084378699,0.0,False,exact
5612334,interevent,2467.9767719951674,2478.995753681167,10.0120372419683,11.018981685999734,1.0069444440314328,False,exact
5612334,interevent,2478.995753681167,2480.923681523192,1.9279278420249284,1.9279278420249284,0.0,False,exact
5612334,final_censored,2480.923681523192,2498.888972017914,16.90973493921865,17.965290494722012,1.0555555555033607,False,
