,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma
0,84336253.0,2475.4211497576184,2475.416982703264,2475.4433740459554,0.2096741556586632,314.4625160039748,primary,19,15,7.624682361481903
1,84336253.0,2475.4253168117384,2475.4225387755805,2475.4253168117384,0.2103095773541368,33.85496955672064,primary,2,3,7.647789112899887
2,84336253.0,2493.110101888064,2493.1073239087164,2493.192052273833,3.026824986924397,5410.659956908183,primary,61,57,110.06878275768838
3,84336253.0,2493.1156578467617,2493.1156578467617,2493.11843582611,0.639649084907326,115.307645145187,secondary,1,1,23.26047804942916
4,360261300.0,1606.7235131253626,1606.7207353150045,1606.7332354621947,0.05701831829418036,34.75647377063088,primary,8,4,4.562235031864208
5,360261300.0,1607.230463387384,1607.2249077699282,1607.237407909436,0.051430719274313974,35.35855071623911,primary,9,4,4.115151695226299
6,397353968.0,2504.4754609737074,2504.4740719829842,2504.4837949180383,0.18255663725674975,79.285601656506,primary,7,5,6.3217599187866265
7,397353968.0,2508.9424357640864,2508.939657806857,2508.9507696353094,0.09047905356746799,86.73189496873597,primary,8,5,3.1332021827731107
8,453684455.0,1633.7851993519641,1633.7810327315408,1633.7990880870996,0.0059295174621314395,5.111528382676826,primary,13,7,5.947441052720006
9,118679163.0,2494.3969076592675,2494.394129654541,2494.413575687163,0.039046585438467174,26.222873300914525,primary,14,11,12.437761669642402
10,265179710.0,1635.4329080379405,1635.428741274791,1635.4745756680356,0.009419919258192078,21.55030762020981,primary,30,18,7.331632132961119
11,265179710.0,1635.9940320052876,1635.988476323805,1636.0065322886824,0.00758414868411017,5.103320482440797,primary,13,5,5.9028306580462955
12,265179710.0,1637.2148923542165,1637.213503435418,1637.2315593793394,0.02346545871836203,19.500811627898997,primary,13,13,18.263437980596297
13,265179710.0,1647.9886814754875,1647.9886814754875,1648.0011816420013,0.008162990520971913,5.110849707373646,primary,9,6,6.353349956005999
14,258066901.0,2466.242765869221,2466.2413768514093,2466.253878010785,0.4660224032209681,182.6443804736947,primary,9,3,5.321794058781402
15,285555777.0,2536.5100219092515,2536.5044661331153,2536.5169666295396,0.0837436152005211,50.43413893879317,primary,9,5,5.917613252161745
16,125735913.0,2451.1161924271596,2451.114803402181,2451.120359502074,0.3944792046298513,89.13391617356595,primary,4,3,6.40504176077842
17,75827390.0,2998.3149342210313,2998.31215641681,2998.3329899485866,0.0510132788003137,41.70973034818782,primary,14,11,10.322130837999557
18,75827390.0,3003.412193673668,3003.4094158766643,3003.431638253157,0.05554146993683928,46.63117516815999,primary,15,11,11.238374264611053
19,75827390.0,3010.8163779344645,3010.8136001640046,3010.8330445572296,0.04118983258686959,29.351345697485314,primary,13,6,8.33443470319244
20,308667775.0,1525.2232255463377,1525.2204477288642,1525.2329479070881,0.020692531133206238,12.312769044567096,primary,8,6,7.9580231280108755
21,308667775.0,1528.2010410107205,1528.1968743002835,1528.2177078524642,0.020603233038574364,18.55775323695279,primary,15,8,7.923680480521639
22,308667775.0,1535.2525107267272,1535.2511218216573,1535.255288536633,0.014398085144989858,2.989214003011007,primary,3,3,5.5372778634619015
23,308667775.0,1540.7914507682776,1540.7831173843101,1540.8011730495155,0.023495220336046785,20.888713106681003,primary,13,10,9.035893464571076
24,220425740.0,3071.2798625792266,3071.2798625792266,3071.3090293741475,0.5872160053816369,276.0971520702865,primary,21,16,38.584872896305654
25,220425740.0,3080.090995391983,3080.090995391983,3080.093773175108,0.0454146122173833,8.09921195751472,primary,2,2,2.984109806243953
26,220425740.0,3082.0632226180383,3082.0632226180383,3082.070167089178,0.10082022458617312,37.690810427944996,primary,4,4,6.624709673072087
27,220425740.0,3095.6799920878107,3095.6786031890892,3095.724436850855,0.6055272501308917,617.2543549315619,primary,33,28,39.78807077365908
28,166527623.0,2334.8948948912152,2334.8768393292426,2334.9240615677445,0.010723985243435319,25.404239735468856,primary,34,31,10.893079360274207
