Unnamed: 0,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma,Sector,Orbit,match_type
0,84336253,2475.4211497576184,2475.416982703264,2475.443374045956,0.2096741556586632,314.4625160039748,primary,19,15,7.624682361481903,43,93,exact
1,84336253,2475.4253168117384,2475.4225387755805,2475.4253168117384,0.2103095773541368,33.85496955672064,primary,2,3,7.647789112899887,43,93,exact
2,84336253,2493.110101888064,2493.1073239087164,2493.192052273833,3.026824986924397,5410.659956908183,primary,61,57,110.06878275768838,43,94,exact
3,84336253,2493.1156578467617,2493.1156578467617,2493.11843582611,0.639649084907326,115.307645145187,secondary,1,1,23.26047804942916,43,94,exact
4,360261300,1606.7235131253626,1606.7207353150045,1606.733235462195,0.0570183182941803,34.75647377063088,primary,8,4,4.562235031864208,11,29,exact
5,360261300,1607.230463387384,1607.2249077699282,1607.237407909436,0.0514307192743139,35.35855071623911,primary,9,4,4.115151695226299,11,29,exact
6,397353968,2504.4754609737074,2504.474071982984,2504.4837949180383,0.1825566372567497,79.285601656506,primary,7,5,6.3217599187866265,44,95,exact
7,397353968,2508.9424357640864,2508.939657806857,2508.9507696353094,0.0904790535674679,86.73189496873597,primary,8,5,3.1332021827731107,44,95,exact
8,453684455,1633.785199351964,1633.7810327315408,1633.7990880870996,0.0059295174621314,5.111528382676826,primary,13,7,5.947441052720006,12,31,exact
9,118679163,2494.3969076592675,2494.394129654541,2494.413575687163,0.0390465854384671,26.222873300914525,primary,14,11,12.437761669642402,43,94,exact
10,265179710,1635.4329080379405,1635.428741274791,1635.4745756680356,0.009419919258192,21.55030762020981,primary,30,18,7.331632132961119,12,31,exact
11,265179710,1635.9940320052876,1635.988476323805,1636.0065322886824,0.0075841486841101,5.103320482440797,primary,13,5,5.902830658046296,12,31,exact
12,265179710,1637.2148923542163,1637.213503435418,1637.2315593793394,0.023465458718362,19.500811627899,primary,13,13,18.263437980596297,12,31,exact
13,265179710,1647.9886814754875,1647.9886814754875,1648.0011816420013,0.0081629905209719,5.110849707373646,primary,9,6,6.353349956005999,12,32,exact
14,258066901,2466.242765869221,2466.2413768514093,2466.253878010785,0.4660224032209681,182.6443804736947,primary,9,3,5.321794058781402,42,92,exact
15,285555777,2536.5100219092515,2536.504466133116,2536.51696662954,0.0837436152005211,50.43413893879317,primary,9,5,5.917613252161745,45,97,exact
16,125735913,2451.11619242716,2451.114803402181,2451.120359502074,0.3944792046298513,89.13391617356595,primary,4,3,6.40504176077842,42,91,exact
17,75827390,2998.3149342210318,2998.31215641681,2998.3329899485866,0.0510132788003137,41.70973034818782,primary,14,11,10.322130837999556,62,131,exact
18,75827390,3003.412193673668,3003.4094158766643,3003.431638253157,0.0555414699368392,46.63117516815999,primary,15,11,11.238374264611052,62,132,exact
19,75827390,3010.8163779344645,3010.8136001640046,3010.8330445572296,0.0411898325868695,29.351345697485318,primary,13,6,8.33443470319244,62,132,exact
20,308667775,1525.2232255463375,1525.2204477288642,1525.232947907088,0.0206925311332062,12.312769044567096,primary,8,6,7.9580231280108755,8,23,exact
21,308667775,1528.2010410107205,1528.1968743002835,1528.2177078524642,0.0206032330385743,18.55775323695279,primary,15,8,7.923680480521639,8,23,exact
22,308667775,1535.2525107267272,1535.2511218216573,1535.255288536633,0.0143980851449898,2.989214003011007,primary,3,3,5.5372778634619015,8,24,exact
23,308667775,1540.7914507682776,1540.78311738431,1540.8011730495157,0.0234952203360467,20.888713106681003,primary,13,10,9.035893464571076,8,24,exact
24,220425740,3071.2798625792266,3071.2798625792266,3071.3090293741475,0.5872160053816369,276.0971520702865,primary,21,16,38.58487289630565,65,137,exact
25,220425740,3080.090995391983,3080.090995391983,3080.093773175108,0.0454146122173833,8.09921195751472,primary,2,2,2.984109806243953,65,137,exact
26,220425740,3082.0632226180383,3082.0632226180383,3082.070167089178,0.1008202245861731,37.690810427945,primary,4,4,6.624709673072087,65,137,exact
27,220425740,3095.6799920878107,3095.678603189089,3095.724436850855,0.6055272501308917,617.2543549315619,primary,33,28,39.78807077365908,65,138,exact
28,166527623,2334.8948948912152,2334.8768393292426,2334.9240615677445,0.0107239852434353,25.404239735468856,primary,34,31,10.893079360274209,38,83,exact
29,166527623,2334.9796171428634,2334.972672695916,2335.021283824085,0.0197179892443717,48.613420437712136,primary_failed_dbl_fit,35,35,20.028899405233503,38,83,exact
30,166527623,2335.171283875277,2335.167117207201,2335.1935061048584,0.0068987348327322,6.781477775255598,primary,19,8,7.00751300123645,38,83,exact
31,166527623,2340.212941959876,2340.212941959876,2340.219886373296,0.0037957843235767,1.4476301745224835,primary,5,3,3.855635655272582,38,83,exact
32,166527623,2342.0143207177125,2342.0115429588645,2342.01987623541,0.005802807824355,3.0854798823997247,primary,6,7,5.894305587730448,38,83,exact
33,166527623,2346.16844610602,2346.16705723684,2346.183723665601,0.0041747897694077,3.214119861651114,primary,12,3,4.240617199511536,38,83,exact
